TrialID	BlockCount	TrialStimIndices	TrialStimLocations	TrialStimTokenReward	RandomizedLocations
 VSn12.TDSIM1	1	[18,56,44,12,45,57,63,6,14,0,35,42,51]	[[5.00,11.40, 0.0],[15.00, -7.60, 0.0],[-20.00, -11.40, 0.0],[10.00, 0.00, 0.0],[5.00, 3.80, 0.0],[5.00, -3.80, 0.0],[-20.00, -7.60, 0.0],[20.00, 11.40, 0.0],[-10.00, 3.80, 0.0],[20.00, 3.80, 0.0],[20.00, 7.60, 0.0],[5.00, -7.60, 0.0],[-10.00, -3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM1	1	[18,61,44,39,52,37,29,1,14,0]	[[15.00,-11.40, 0.0],[5.00, 3.80, 0.0],[15.00, -7.60, 0.0],[15.00, -3.80, 0.0],[5.00, -11.40, 0.0],[-10.00, 0.00, 0.0],[-5.00, 0.00, 0.0],[-20.00, 3.80, 0.0],[-15.00, 0.00, 0.0],[15.00, 7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM1	1	[18,12,9,40,10,49,25]	[[-20.00,7.60, 0.0],[0.00, 11.40, 0.0],[5.00, -3.80, 0.0],[-15.00, -7.60, 0.0],[10.00, 0.00, 0.0],[-10.00, 11.40, 0.0],[-15.00, 11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM2	1	[18,20,23,62,38,32,29,16,17,50,26,34,22]	[[0.00,-3.80, 0.0],[20.00, 0.00, 0.0],[10.00, 0.00, 0.0],[-20.00, -3.80, 0.0],[0.00, 7.60, 0.0],[-15.00, -7.60, 0.0],[-15.00, 7.60, 0.0],[10.00, -7.60, 0.0],[15.00, 11.40, 0.0],[-20.00, -11.40, 0.0],[-20.00, 7.60, 0.0],[5.00, 0.00, 0.0],[15.00, 0.00, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM2	1	[18,21,51,33,22,19,16]	[[20.00,-3.80, 0.0],[-5.00, 3.80, 0.0],[0.00, 11.40, 0.0],[-5.00, 11.40, 0.0],[10.00, -3.80, 0.0],[15.00, -7.60, 0.0],[-10.00, 0.00, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn09.TDSIM1	1	[18,4,37,40,9,27,25,21,42,54]	[[10.00,3.80, 0.0],[-15.00, 11.40, 0.0],[0.00, -11.40, 0.0],[0.00, 3.80, 0.0],[5.00, 3.80, 0.0],[-5.00, 0.00, 0.0],[20.00, 7.60, 0.0],[20.00, 0.00, 0.0],[5.00, 0.00, 0.0],[-5.00, -7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM1	1	[18,5,56,24]	[[-15.00,-11.40, 0.0],[15.00, -11.40, 0.0],[-10.00, 0.00, 0.0],[-10.00, 3.80, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn06.TDSIM1	1	[18,56,37,9,35,58,6]	[[-5.00,11.40, 0.0],[-20.00, 11.40, 0.0],[-10.00, -11.40, 0.0],[20.00, 11.40, 0.0],[5.00, 11.40, 0.0],[-15.00, 11.40, 0.0],[20.00, 0.00, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn12.TDSIM1	1	[18,41,57,43,52,55,56,31,38,33,27,24,21]	[[-10.00,-7.60, 0.0],[15.00, -7.60, 0.0],[5.00, 0.00, 0.0],[-10.00, 11.40, 0.0],[15.00, 7.60, 0.0],[20.00, -7.60, 0.0],[0.00, 3.80, 0.0],[5.00, -3.80, 0.0],[5.00, -11.40, 0.0],[0.00, -11.40, 0.0],[-5.00, 3.80, 0.0],[15.00, 0.00, 0.0],[10.00, -11.40, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
 VSn03.TDSIM2	1	[18,27,33,17]	[[15.00,0.00, 0.0],[-15.00, 11.40, 0.0],[10.00, -7.60, 0.0],[-5.00, 7.60, 0.0]]	[[{"NumTokens":2,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}], [{"NumTokens":0,"Probability":1}]]	FALSE
